,13391_bright_pixels,13391_bright_columns,13391_dark_pixels,13391_dark_columns,13401_bright_pixels,13401_bright_columns,13401_dark_pixels,13401_dark_columns,13505_bright_pixels,13505_bright_columns,13505_dark_pixels,13505_dark_columns,13550_bright_pixels,13550_bright_columns,13550_dark_pixels,13550_dark_columns,DetectorNumber,Manufacturer,Raft
R42_S21,43.0,1.0,23099.0,0.0,47.0,1.0,23272.0,0.0,39.0,1.0,21673.0,0.0,39.0,1.0,21655.0,0.0,178,ITL,R42
R42_S22,56.0,0.0,24568.0,0.0,57.0,0.0,24572.0,0.0,58.0,0.0,27423.0,0.0,58.0,0.0,27489.0,0.0,179,ITL,R42
R43_S00,2386.0,42.0,22493.0,2.0,2411.0,43.0,22527.0,2.0,2431.0,43.0,22498.0,2.0,2428.0,43.0,22471.0,2.0,180,ITL,R43
R43_S01,47.0,0.0,21803.0,0.0,59.0,0.0,21969.0,0.0,72.0,0.0,22435.0,0.0,72.0,0.0,22419.0,0.0,181,ITL,R43
R43_S02,29.0,0.0,16947.0,0.0,34.0,0.0,16950.0,0.0,46.0,0.0,17300.0,0.0,50.0,0.0,17314.0,0.0,182,ITL,R43
R43_S10,27.0,0.0,24468.0,0.0,31.0,0.0,24474.0,0.0,41.0,0.0,24610.0,0.0,41.0,0.0,24609.0,0.0,183,ITL,R43
R43_S11,30.0,3.0,22355.0,0.0,36.0,3.0,22467.0,0.0,36.0,3.0,21010.0,0.0,36.0,3.0,21037.0,0.0,184,ITL,R43
R43_S12,2266.0,34.0,21015.0,2.0,2269.0,35.0,20656.0,0.0,2140.0,34.0,20034.0,0.0,2143.0,34.0,20038.0,0.0,185,ITL,R43
R43_S20,41.0,0.0,24616.0,0.0,42.0,0.0,24622.0,0.0,49.0,0.0,21091.0,0.0,51.0,0.0,21097.0,0.0,186,ITL,R43
R43_S21,73.0,0.0,22294.0,0.0,84.0,0.0,22407.0,0.0,105.0,0.0,20751.0,0.0,103.0,0.0,20753.0,0.0,187,ITL,R43
R43_S22,28.0,0.0,31726.0,451.0,32.0,0.0,31761.0,451.0,39.0,0.0,31705.0,352.0,39.0,0.0,31746.0,352.0,188,ITL,R43
R00_SG0,32.0,0.0,35076.0,0.0,35.0,0.0,35137.0,0.0,21.0,0.0,33741.0,0.0,24.0,0.0,33772.0,0.0,189,ITL,R00
R00_SG1,46.0,1.0,34397.0,2.0,55.0,1.0,34359.0,2.0,47.0,1.0,32164.0,2.0,47.0,1.0,32186.0,2.0,190,ITL,R00
R00_SW0,33.0,1.0,12481.0,1.0,25.0,2.0,12499.0,1.0,38.0,1.0,12452.0,1.0,38.0,1.0,12445.0,1.0,191,ITL,R00
R00_SW1,18.0,3.0,12814.0,0.0,20.0,3.0,12839.0,0.0,20.0,2.0,13702.0,0.0,20.0,2.0,13660.0,0.0,192,ITL,R00
R04_SG0,79.0,157.0,419693.0,0.0,84.0,157.0,452468.0,0.0,118.0,166.0,422292.0,0.0,143.0,164.0,426753.0,0.0,193,ITL,R04
R04_SG1,2697.0,17.0,47120.0,16.0,5836.0,28.0,45417.0,4.0,1475.0,20.0,35128.0,4.0,1527.0,33.0,33192.0,36.0,194,ITL,R04
R04_SW0,32.0,0.0,16270.0,0.0,30.0,0.0,16279.0,0.0,33.0,0.0,16349.0,0.0,37.0,0.0,16347.0,0.0,195,ITL,R04
